FCFS 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
92600 9 0 59 
92800 9 0 60 
93000 9 0 61 
93200 8 1 61 
93400 9 0 61 
93600 9 0 61 
93800 9 0 61 
94000 8 1 61 
94200 9 0 61 
94400 9 0 61 
94600 9 0 61 
94800 9 0 61 
95000 9 0 61 
95200 9 0 61 
95400 9 0 62 
95600 9 0 62 
95800 9 0 62 
96000 9 0 63 
96200 9 0 63 
96400 9 0 63 
96600 9 0 63 
96800 9 0 63 
97000 9 0 63 
97200 9 0 64 
97400 9 0 64 
97600 9 0 64 
97800 8 1 64 
98000 9 0 64 
98200 9 0 64 
98400 9 0 64 
98600 9 0 64 
98800 9 0 64 
99000 9 0 64 
99200 9 0 64 
99400 9 0 64 
99600 9 0 64 
99800 9 0 65 
100000 9 0 65 
100200 9 0 65 
100400 9 0 65 
100600 9 0 65 
100800 9 0 65 
101000 8 1 65 
101200 9 0 65 
101400 9 0 65 
101600 9 0 65 
101800 9 0 65 
102000 8 1 65 
102200 9 0 65 
102400 9 0 65 
102600 9 0 65 
102800 9 0 65 
103000 9 0 65 
103200 9 0 65 
103400 9 0 65 
103600 9 0 65 
103800 9 0 65 
104000 9 0 66 
104200 9 0 66 
104400 9 0 67 
104600 9 0 67 
104800 9 0 67 
105000 9 0 67 
105200 9 0 67 
105400 9 0 67 
105600 9 0 67 
105800 9 0 67 
106000 9 0 67 
106200 9 0 67 
106400 9 0 67 
106600 9 0 67 
106800 9 0 67 
107000 9 0 67 
107200 9 0 67 
107400 9 0 67 
107600 9 0 67 
107800 9 0 67 
108000 9 0 67 
108200 9 0 67 
108400 9 0 67 
108600 9 0 67 
108800 9 0 67 
109000 8 1 67 
109200 9 0 68 
109400 9 0 69 
109600 9 0 69 
109800 9 0 69 
110000 9 0 69 
110200 8 1 70 
110400 9 0 70 
110600 8 1 70 
110800 9 0 70 
111000 9 0 70 
111200 9 0 70 
111400 9 0 70 
111600 9 0 70 
111800 9 0 70 
112000 9 0 70 
112200 9 0 70 
112400 9 0 70 
112600 9 0 70 
112800 9 0 70 
113000 9 0 70 
113200 8 1 71 
113400 9 0 71 
113600 9 0 72 
113800 9 0 73 
114000 9 0 73 
114200 9 0 73 
114400 9 0 73 
114600 9 0 73 
114800 9 0 73 
115000 8 1 73 
115200 9 0 73 
115400 9 0 73 
115600 9 0 73 
115800 9 1 73 
116000 9 0 73 
116200 9 0 73 
116400 9 0 73 
116600 9 0 73 
116800 9 0 73 
117000 9 0 73 
117200 9 0 73 
117400 9 0 73 
117600 9 0 73 
117800 9 0 74 
118000 9 0 74 
118200 9 0 74 
118400 9 0 74 
118600 9 0 74 
118800 9 0 74 
119000 9 0 74 
119200 9 0 74 
119400 9 0 74 
119600 9 0 74 
119800 9 0 74 
120000 9 0 75 
120200 9 0 75 
120400 9 0 75 
120600 9 0 75 
120800 9 0 75 
121000 9 0 76 
121200 9 0 77 
121400 9 0 77 
121600 9 0 77 
121800 9 0 77 
122000 9 0 77 
122200 9 0 77 
122400 9 0 77 
122600 9 0 77 
122800 9 0 77 
123000 9 0 77 
123200 9 0 77 
123400 9 0 77 
123600 9 0 77 
123800 8 1 77 
124000 9 0 77 
124200 9 0 77 
124400 9 0 77 
124600 9 0 77 
124800 8 1 77 
125000 9 0 77 
125200 9 0 77 
125400 9 0 77 
125600 9 0 77 
125800 9 0 77 
126000 9 0 77 
126200 9 0 77 
126400 9 0 77 
126600 9 0 77 
126800 9 0 77 
127000 9 0 77 
127200 9 0 77 
127400 9 0 77 
127600 9 0 77 
127800 8 1 77 
128000 9 0 78 
128200 9 0 78 
128400 9 0 78 
128600 8 1 78 
128800 9 0 78 
129000 9 0 79 
129200 8 1 79 
129400 9 0 79 
129600 9 0 79 
129800 9 0 80 
130000 9 0 80 
130200 9 0 81 
130400 9 1 81 
130600 9 0 81 
130800 9 0 81 
131000 9 0 82 
131200 8 1 82 
131400 9 0 82 
131600 9 0 82 
131800 9 0 82 
132000 9 0 83 
132200 9 0 83 
132400 9 0 83 
132600 9 0 83 
132800 9 0 84 
133000 9 0 84 
133200 9 0 84 
133400 9 0 84 
133600 9 0 84 
133800 9 0 84 
134000 9 0 84 
134200 9 0 84 
134400 9 0 84 
134600 9 0 84 
134800 9 0 84 
135000 9 0 84 
135200 9 0 84 
135400 9 0 84 
135600 9 0 84 
135800 9 0 84 
136000 9 0 84 
136200 9 0 84 
136400 9 0 84 
136600 9 0 84 
136800 9 0 84 
