SJF 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
189600 9 0 124 
189800 9 0 124 
190000 9 0 124 
190200 9 0 124 
190400 9 0 124 
190600 9 0 124 
190800 9 0 124 
191000 9 0 124 
191200 9 0 124 
191400 9 0 124 
191600 9 0 124 
191800 9 0 124 
192000 9 0 124 
192200 9 0 125 
192400 9 0 125 
192600 9 0 125 
192800 9 0 125 
193000 9 0 125 
193200 9 0 125 
193400 9 0 125 
193600 9 0 126 
193800 9 0 126 
194000 9 0 126 
194200 9 0 126 
194400 9 0 127 
194600 9 0 127 
194800 9 0 127 
195000 9 0 127 
195200 9 0 127 
195400 9 0 127 
195600 9 0 127 
195800 9 0 127 
196000 9 0 127 
196200 9 0 127 
196400 8 1 127 
196600 9 0 127 
196800 9 0 127 
197000 9 0 127 
197200 9 0 127 
197400 9 0 127 
197600 9 0 128 
197800 9 0 128 
198000 9 0 128 
198200 9 0 128 
198400 9 0 129 
198600 9 0 130 
198800 9 0 130 
199000 9 0 130 
199200 9 0 130 
199400 9 0 130 
199600 9 0 130 
199800 9 0 130 
200000 9 0 130 
200200 9 0 130 
200400 9 0 130 
200600 8 1 130 
200800 8 1 130 
201000 9 0 130 
201200 9 0 130 
201400 8 1 130 
201600 9 0 130 
201800 9 0 130 
202000 9 0 130 
202200 9 0 131 
202400 9 0 131 
202600 9 0 131 
202800 9 0 131 
203000 9 0 131 
203200 9 0 131 
203400 9 0 131 
203600 9 0 131 
203800 9 0 131 
204000 9 0 132 
204200 9 0 133 
204400 9 0 133 
204600 8 1 133 
204800 8 1 133 
205000 9 0 133 
205200 9 0 133 
205400 8 1 133 
205600 8 1 133 
205800 8 1 133 
206000 9 0 134 
206200 9 0 134 
206400 9 0 134 
206600 9 0 134 
206800 9 0 134 
207000 9 0 134 
207200 9 0 134 
207400 9 1 134 
207600 9 0 134 
207800 9 1 134 
208000 9 0 134 
208200 9 0 134 
208400 9 0 134 
208600 9 0 134 
208800 9 0 134 
209000 9 0 134 
209200 9 1 134 
209400 9 0 134 
209600 9 0 134 
209800 9 0 134 
210000 9 0 134 
210200 9 0 134 
210400 9 0 134 
210600 9 0 134 
210800 9 0 134 
211000 9 0 134 
211200 9 0 134 
211400 8 1 135 
211600 9 0 136 
211800 8 1 136 
212000 9 0 136 
212200 9 0 136 
212400 9 0 136 
212600 9 0 136 
212800 9 0 136 
213000 9 0 136 
213200 9 0 136 
213400 9 0 136 
213600 9 0 137 
213800 9 0 138 
214000 9 0 138 
214200 9 0 138 
214400 9 0 138 
214600 9 0 138 
214800 9 0 138 
215000 9 0 138 
215200 9 0 139 
215400 9 0 140 
215600 9 0 140 
215800 9 0 140 
216000 9 0 140 
216200 8 1 140 
216400 9 0 140 
216600 9 0 140 
216800 9 0 140 
217000 9 0 140 
217200 9 0 140 
217400 9 0 140 
217600 9 0 140 
217800 9 0 140 
218000 9 0 141 
218200 9 0 142 
218400 9 0 142 
218600 9 0 142 
218800 9 0 142 
219000 9 0 142 
219200 9 0 142 
219400 9 0 142 
219600 9 0 142 
219800 9 0 142 
220000 9 0 142 
220200 9 0 142 
220400 9 0 142 
220600 9 0 142 
220800 9 0 142 
221000 9 0 142 
221200 9 0 142 
221400 9 0 142 
221600 9 0 142 
221800 9 0 142 
222000 9 0 143 
222200 9 0 143 
222400 9 0 143 
222600 9 0 143 
222800 9 0 143 
223000 9 0 143 
223200 9 0 143 
223400 9 0 144 
223600 9 0 144 
223800 9 0 144 
224000 9 0 144 
224200 9 0 144 
224400 9 0 144 
224600 9 0 144 
224800 9 0 145 
225000 9 0 145 
225200 9 0 146 
225400 9 0 146 
225600 9 0 146 
225800 9 0 146 
226000 9 0 146 
226200 9 0 146 
226400 9 0 146 
226600 9 0 146 
226800 9 0 146 
227000 9 0 146 
227200 9 0 146 
227400 9 0 146 
227600 9 0 146 
227800 8 1 146 
228000 9 0 146 
228200 9 0 146 
228400 9 0 146 
228600 9 0 146 
228800 9 0 146 
229000 9 0 146 
229200 9 0 146 
229400 9 0 146 
229600 9 0 146 
229800 9 0 146 
230000 9 0 147 
230200 9 0 147 
230400 9 0 147 
230600 9 0 147 
230800 9 0 147 
231000 9 0 148 
231200 9 0 148 
231400 9 0 148 
231600 9 0 148 
231800 9 0 148 
232000 9 0 148 
232200 9 0 148 
232400 9 0 149 
232600 9 0 150 
232800 9 0 150 
233000 9 0 150 
233200 9 0 150 
233400 9 0 150 
233600 9 0 150 
233800 9 0 150 
234000 9 0 150 
234200 9 0 150 
234400 9 0 150 
234600 9 0 150 
234800 9 0 151 
235000 9 0 151 
235200 9 0 151 
235400 9 0 151 
235600 9 0 151 
235800 9 0 152 
236000 9 0 152 
236200 9 0 154 
236400 9 0 154 
236600 9 0 154 
236800 9 0 154 
237000 9 0 154 
237200 9 0 154 
237400 9 0 154 
237600 9 0 154 
237800 9 0 154 
238000 9 0 155 
238200 9 0 155 
238400 9 0 155 
238600 9 0 155 
238800 9 0 155 
239000 9 0 155 
239200 9 0 155 
239400 9 0 155 
239600 9 0 155 
239800 9 0 155 
240000 9 0 155 
240200 9 0 155 
240400 9 0 155 
240600 9 0 155 
240800 9 0 155 
241000 9 0 155 
241200 9 0 156 
241400 9 0 156 
241600 9 0 157 
241800 9 0 157 
242000 9 0 157 
242200 9 0 157 
242400 9 0 157 
242600 9 0 157 
242800 9 0 157 
243000 9 0 157 
243200 9 0 157 
243400 9 0 157 
243600 9 0 158 
243800 9 0 159 
244000 9 0 159 
244200 9 0 159 
244400 9 0 159 
244600 9 0 159 
244800 9 0 159 
245000 9 0 159 
245200 9 0 159 
245400 9 0 159 
245600 9 0 159 
245800 9 0 159 
246000 9 0 160 
246200 9 0 160 
246400 9 0 160 
246600 9 0 160 
246800 9 0 160 
247000 9 0 160 
247200 9 0 160 
247400 9 0 160 
247600 9 0 160 
247800 9 0 160 
248000 9 0 161 
248200 9 0 161 
248400 9 0 161 
248600 9 0 161 
248800 9 0 161 
249000 9 0 161 
249200 9 0 161 
249400 9 0 161 
249600 9 0 161 
249800 9 0 161 
250000 8 1 161 
250200 9 0 161 
250400 9 0 161 
250600 9 0 161 
250800 9 0 161 
251000 8 1 162 
251200 9 0 162 
251400 9 0 163 
251600 9 0 163 
251800 9 0 163 
252000 9 0 164 
252200 9 0 164 
252400 9 0 164 
252600 8 1 164 
252800 9 0 164 
253000 9 0 164 
253200 9 0 164 
253400 9 0 164 
253600 9 0 164 
253800 9 0 164 
254000 9 0 165 
254200 9 0 165 
254400 9 0 165 
254600 9 0 166 
254800 9 0 166 
255000 9 0 166 
255200 9 0 166 
255400 9 0 166 
255600 9 0 166 
255800 9 0 166 
256000 9 0 166 
256200 9 0 166 
256400 9 0 166 
256600 9 0 166 
256800 9 0 166 
257000 9 0 166 
257200 9 0 166 
257400 9 0 166 
257600 9 0 166 
257800 9 0 167 
258000 9 0 167 
258200 9 0 167 
258400 9 0 167 
258600 9 0 167 
258800 9 0 167 
259000 8 1 167 
259200 9 0 167 
259400 9 0 168 
259600 9 0 168 
259800 9 0 168 
260000 9 0 168 
260200 9 0 168 
260400 8 1 168 
260600 9 0 168 
260800 9 0 168 
261000 9 0 168 
261200 9 0 169 
261400 9 0 169 
261600 8 1 169 
261800 9 0 169 
262000 8 1 169 
262200 9 0 169 
262400 9 0 169 
262600 9 0 169 
262800 9 0 169 
263000 9 0 169 
263200 9 0 169 
263400 9 0 169 
263600 9 0 169 
263800 9 0 169 
264000 9 0 169 
264200 9 0 169 
264400 9 0 169 
264600 9 0 169 
264800 9 0 169 
265000 9 0 169 
265200 8 1 169 
265400 9 0 169 
265600 8 1 169 
265800 9 0 169 
266000 9 0 169 
266200 9 0 169 
266400 9 0 170 
266600 9 0 170 
266800 9 0 170 
267000 9 0 170 
267200 8 1 170 
267400 9 0 171 
267600 9 0 171 
267800 9 0 171 
268000 9 0 171 
268200 9 0 172 
268400 9 0 172 
268600 8 1 172 
268800 9 0 172 
269000 9 0 172 
269200 9 0 172 
269400 9 0 172 
269600 9 0 172 
269800 9 0 172 
270000 9 0 172 
270200 9 0 172 
270400 9 0 172 
270600 9 0 172 
270800 9 0 172 
271000 8 1 172 
271200 9 0 172 
271400 9 0 172 
271600 9 0 172 
271800 9 0 172 
272000 9 0 172 
272200 9 0 172 
272400 9 0 173 
272600 9 0 173 
272800 9 0 173 
273000 9 0 173 
273200 9 0 173 
273400 9 0 173 
273600 9 0 173 
273800 8 1 173 
274000 9 0 174 
274200 9 0 175 
274400 9 0 175 
274600 9 0 176 
274800 9 0 176 
275000 8 1 177 
275200 9 0 177 
275400 9 0 177 
275600 9 0 177 
275800 9 0 178 
276000 9 0 178 
276200 9 0 178 
276400 9 0 178 
276600 9 0 178 
276800 9 0 178 
277000 9 0 178 
277200 9 0 178 
