SJF 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
249 11338 379269 998 1757 2770 
252 11510 381886 1294 1323 2617 
251 11416 382399 2027 2773 4800 
254 11647 385489 1733 1357 3090 
255 11702 385613 109 15 124 
250 11344 386982 2801 7673 10482 
257 11740 389060 783 1285 2078 
208 9470 390235 2783 81922 84713 
259 11887 391536 545 755 1301 
256 11739 392348 2147 4580 6735 
261 12036 394214 805 1053 1866 
262 12090 394352 112 26 138 
260 11937 396413 2046 2826 4877 
263 12182 397232 619 2261 2880 
253 11549 398155 2119 14145 16269 
266 12314 401046 1298 1593 2891 
265 12290 401225 1639 2354 3993 
268 12496 404542 1781 1536 3317 
267 12408 405410 2291 2073 4364 
269 12520 407118 1182 1379 2576 
264 12205 410353 3044 10887 13940 
271 12620 410836 1848 1860 3718 
270 12556 411624 1401 4808 6214 
274 12713 412840 727 489 1216 
272 12653 416362 2075 3933 6009 
275 12730 417511 1977 2685 4671 
258 11829 417916 1866 26990 28856 
278 12838 419624 528 1180 1708 
276 12758 420267 1691 2214 3905 
277 12785 424525 1554 5460 7014 
279 12865 426938 2547 4749 7314 
280 12920 427383 3547 3569 7116 
283 13153 427710 132 195 327 
281 12991 428647 1113 3009 4122 
282 13054 432025 2375 2702 5087 
284 13165 432685 827 4148 4975 
285 13256 434300 3083 2570 5653 
286 13269 436709 1256 3428 4684 
289 13435 439357 1697 950 2648 
288 13360 439901 2404 3189 5601 
290 13474 441701 1386 958 2344 
287 13359 444494 3098 8711 11809 
293 13560 445230 393 343 736 
294 13651 447039 1087 722 1809 
291 13530 449357 2959 6497 9456 
295 13668 450776 2017 1720 3737 
297 13830 450785 9 0 9 
298 13835 451886 557 544 1101 
273 12691 453699 2559 40294 42863 
296 13760 455592 2293 3936 6235 
300 13957 456529 1645 1185 2830 
74 2868 458065 1434 355372 356806 
302 14062 458416 1021 859 1887 
301 13985 462544 2888 4056 6952 
305 14305 462875 149 182 331 
303 14133 464276 2301 3901 6211 
304 14223 464433 2042 3975 6017 
308 14553 467358 1452 1473 2925 
309 14567 467897 237 302 539 
307 14471 470015 2621 3111 5739 
310 14590 472825 2612 2316 4928 
311 14641 473478 1863 1600 3463 
306 14377 474635 1294 10466 11760 
313 14751 476095 1057 1560 2617 
315 14815 476606 310 201 511 
314 14814 477309 1626 1048 2674 
312 14711 481313 1081 7407 8488 
317 14966 481536 1774 2452 4227 
316 14883 482560 3226 2711 5954 
320 15082 484216 896 757 1656 
318 15003 485331 1384 2634 4018 
321 15114 485922 713 993 1706 
323 15135 486818 365 525 896 
324 15190 491372 2209 2335 4554 
319 15016 492879 3305 8035 11343 
325 15220 494372 1404 1596 3000 
327 15350 498314 2385 1557 3942 
326 15284 500171 2998 4294 7292 
328 15384 500589 1199 1076 2275 
329 15438 501124 482 471 953 
322 15117 502123 3370 13422 16792 
330 15527 502227 596 1024 1638 
333 15680 504120 619 1274 1893 
332 15611 505918 1694 2094 3795 
331 15539 506749 1790 3835 5625 
335 15819 509775 1325 2526 3857 
334 15738 511923 3018 4785 7803 
336 15887 512619 2749 3112 5870 
338 15951 515288 1648 1717 3365 
339 15958 519359 2285 4441 6740 
337 15896 521415 3250 8390 11640 
340 16020 522372 3099 3985 7084 
342 16073 525814 2017 2371 4399 
343 16147 528056 2518 3162 5684 
341 16051 528499 2294 6846 9140 
345 16231 531069 1273 1740 3013 
347 16328 531349 157 123 280 
348 16333 532971 446 1176 1622 
344 16165 533645 2006 5817 7831 
350 16391 534724 435 644 1079 
133 5648 536623 3659 343417 347076 
351 16402 539147 1700 2706 4423 
352 16433 541492 2427 2433 4869 
353 16498 546510 3483 3863 7363 
354 16509 546902 2772 2637 5410 
349 16364 549457 3056 13430 16486 
357 16753 553416 2184 1775 3959 
356 16663 556453 2878 6673 9551 
358 16844 557943 2310 2210 4527 
355 16572 559054 3237 9307 12544 
360 16994 560696 1390 1363 2753 
361 16999 562070 1901 1115 3016 
362 17030 562507 927 884 1811 
363 17114 565770 2082 1618 3700 
364 17171 569967 2981 4479 7460 
359 16940 570259 2753 11048 13806 
367 17305 573704 1293 2152 3445 
366 17301 575086 2375 2736 5119 
139 6007 576872 3247 375036 378283 
370 17333 578984 1200 912 2112 
368 17312 580895 3450 3741 7191 
369 17312 583411 526 7799 8325 
371 17345 584401 2965 2452 5417 
374 17500 584585 106 78 184 
372 17387 585796 1143 3758 4901 
376 17631 586723 444 483 927 
373 17409 587145 1108 2626 3734 
375 17544 588223 1916 1715 3638 
378 17740 589816 1619 1052 2671 
380 17862 589865 49 0 49 
381 17934 593234 1603 1766 3369 
379 17769 593445 2837 2385 5222 
377 17665 598321 1813 9785 11598 
383 17957 598994 2977 2572 5549 
384 18016 599199 371 507 878 
382 17941 603949 3310 7405 10715 
385 18092 603996 2382 2620 5002 
387 18206 604317 207 161 368 
389 18305 605951 893 741 1634 
388 18291 607699 1936 1767 3703 
386 18137 610927 1975 9747 11728 
390 18343 611707 1779 3977 5756 
391 18401 611743 1861 2183 4044 
393 18497 614942 1535 1695 3235 
395 18657 616881 792 1144 1939 
394 18566 619029 1773 5513 7286 
392 18408 620063 3637 5495 9136 
396 18679 620659 962 2816 3778 
399 18886 620694 35 0 35 
398 18802 623712 1207 2441 3649 
397 18710 624768 2851 2888 5739 
402 19032 629548 1196 3584 4780 
400 18893 631542 3642 7206 10848 
401 18950 632572 3281 5579 8860 
403 19092 634302 2325 2429 4754 
405 19185 637840 2621 2626 5268 
406 19225 640615 2836 3471 6313 
408 19351 641901 821 465 1286 
404 19094 645750 3853 10355 14208 
407 19316 646685 2576 6264 8845 
411 19534 648909 1308 916 2224 
412 19585 649554 385 260 645 
410 19455 649862 2008 2104 4112 
413 19665 655557 2581 3414 6003 
409 19412 657315 3737 11677 15414 
415 19742 659155 1721 1877 3598 
414 19699 661455 4150 7441 11593 
418 19873 662472 318 699 1017 
419 19904 662658 140 46 186 
417 19857 665233 2869 3204 6078 
421 19991 666440 580 627 1207 
416 19785 666448 2919 6209 9133 
423 20085 668971 1688 835 2523 
424 20135 669285 215 99 314 
422 20053 670001 1667 1894 3561 
425 20214 670628 662 681 1343 
427 20285 671019 288 103 391 
426 20218 671440 677 762 1439 
420 19932 676029 1380 11991 13371 
429 20372 677392 2857 3090 5952 
431 20470 678088 434 262 696 
430 20426 681161 2111 3010 5132 
428 20327 682187 2578 8590 11168 
432 20510 683442 2590 2764 5354 
434 20634 683693 633 873 1506 
435 20640 686660 1674 1544 3218 
436 20719 689336 3059 2583 5643 
437 20724 692721 2943 3115 6061 
438 20797 695052 2908 2807 5716 
439 20800 697997 3058 2218 5276 
440 20882 699950 2452 2446 4898 
441 20968 700810 1711 1102 2813 
442 21005 703935 1931 2054 3985 
433 20575 704713 2702 20850 23552 
445 21194 705207 283 211 494 
444 21123 707314 1887 1492 3379 
446 21257 710557 2794 2556 5350 
447 21322 711227 2339 1574 3913 
448 21363 716100 3063 2480 5543 
449 21447 716725 2799 2699 5498 
199 9040 718740 2580 420981 423565 
451 21602 721815 2266 2815 5090 
450 21527 723230 3439 3684 7130 
454 21730 723258 28 0 28 
452 21648 725377 2164 4467 6637 
456 21817 726321 628 316 944 
457 21868 727702 868 513 1381 
453 21655 729965 2475 5675 8150 
455 21792 732537 2937 6342 9279 
459 21943 736171 3038 3168 6206 
460 21974 736802 2352 1904 4265 
458 21879 739801 2284 9815 12099 
462 22080 740539 1787 1950 3737 
463 22170 740647 534 312 846 
465 22250 740765 118 0 118 
461 22055 743167 1871 5123 6996 
467 22288 747377 1017 3193 4210 
464 22175 747899 2817 4525 7360 
466 22282 751508 3669 7074 10743 
468 22341 753634 2660 3587 6257 
470 22407 753865 972 1372 2357 
471 22479 755569 875 1060 1935 
469 22402 757145 2702 6532 9246 
472 22514 758159 1627 2667 4294 
473 22533 758937 1333 2023 3368 
474 22566 761338 1792 2401 4193 
477 22739 764601 1783 1480 3263 
475 22605 765090 3307 3624 6931 
478 22837 766070 863 599 1469 
480 22905 766459 213 176 389 
476 22683 768337 1692 7708 9400 
482 23045 770589 962 1290 2252 
481 22991 774074 1891 5722 7615 
483 23094 774253 1940 1724 3664 
484 23122 777330 1665 1591 3256 
486 23179 778795 732 727 1465 
485 23131 780646 3119 3274 6393 
487 23230 780880 1076 1009 2085 
488 23283 783689 1430 1613 3043 
489 23364 783850 1751 1219 2970 
479 22849 784910 3476 16334 19820 
490 23392 785431 825 917 1742 
492 23479 788541 2142 1489 3631 
218 9966 790600 2927 466290 469217 
494 23569 793984 2868 2572 5443 
495 23585 794018 1665 1753 3418 
497 23675 797474 2016 1440 3456 
496 23652 798683 2332 2367 4699 
499 23804 801807 1467 1657 3124 
498 23731 802860 2879 2507 5386 
501 23881 805285 1084 1341 2425 
493 23539 806326 3161 17734 20895 
502 23945 807510 1046 1179 2225 
503 23949 807511 485 700 1185 
505 24040 810475 1511 1453 2964 
506 24128 811039 382 182 564 
500 23850 811074 3342 5923 9267 
507 24213 811124 43 42 85 
508 24253 816626 2876 2671 5552 
221 10046 817011 2028 487399 489427 
509 24280 817767 3061 3573 6643 
512 24412 818026 159 100 259 
510 24327 819374 1375 1373 2748 
514 24513 823685 1739 2571 4311 
511 24370 825756 3275 5470 8745 
515 24582 827851 2073 2093 4166 
516 24667 829661 2250 1655 3905 
517 24713 832806 2609 2346 4955 
519 24821 834551 918 827 1745 
518 24740 836171 3129 3377 6510 
521 24999 837735 599 965 1564 
520 24918 840203 2425 3222 5652 
522 25010 844965 2438 4776 7230 
523 25092 846006 3157 2638 5803 
524 25158 846588 970 653 1623 
292 13537 848654 3692 403261 406953 
525 25165 852255 2051 4188 6249 
526 25241 852862 2917 3350 6274 
528 25313 855174 1098 1816 2919 
529 25382 857134 2004 2268 4272 
527 25251 859830 2705 8453 11176 
531 25535 860619 1276 2209 3485 
530 25478 864010 3313 5517 8836 
534 25651 864971 407 554 961 
532 25547 865999 3105 3064 6169 
535 25703 866358 478 909 1387 
536 25726 869840 1863 1978 3841 
538 25866 871811 1007 964 1971 
537 25810 875710 3255 6084 9352 
533 25614 876112 3527 11966 15493 
539 25923 878090 3236 3043 6279 
542 26091 881803 1589 2124 3713 
299 13880 886012 2821 431305 434126 
544 26226 886050 38 0 38 
545 26290 886597 211 336 547 
543 26157 889279 3710 3756 7476 
540 26001 890959 2082 13161 15249 
546 26303 893358 2225 4536 6761 
549 26477 896087 1111 1611 2729 
548 26437 897736 3111 3666 6777 
550 26480 899031 1663 1281 2944 
551 26515 901782 1936 2110 4046 
552 26537 902911 2198 1682 3880 
553 26608 903646 1126 738 1864 
554 26678 907797 2299 2587 4886 
556 26774 909433 1125 511 1636 
555 26680 910627 3351 3616 6981 
558 26900 911231 417 187 604 
557 26828 911858 984 1441 2425 
560 26945 914149 976 1315 2291 
365 17233 914864 2454 346628 349094 
562 27014 916413 662 881 1549 
559 26936 917293 2834 3226 6062 
564 27172 921030 1824 1913 3737 
565 27202 922574 704 840 1544 
561 26963 922932 3547 5232 8783 
566 27206 925526 1285 1667 2952 
568 27382 925619 93 0 93 
563 27079 926002 1575 8014 9589 
570 27462 927201 497 702 1199 
567 27294 927686 2178 2574 4754 
569 27432 928761 821 2313 3142 
571 27476 929099 925 968 1898 
572 27546 932290 1439 3165 4604 
574 27641 934163 2283 2781 5064 
575 27691 934515 1262 963 2225 
577 27788 936948 1161 1268 2433 
576 27703 938838 2302 2373 4675 
579 27933 942976 2227 1911 4138 
578 27844 945053 2975 5126 8105 
580 27985 948374 3135 2263 5398 
581 28025 948663 1899 1711 3610 
583 28144 951437 1402 1372 2774 
582 28057 954609 3372 2863 6235 
585 28237 955484 495 380 875 
573 27573 956933 3604 24568 28172 
584 28224 957369 2634 3291 5932 
586 28332 960467 2288 2679 4983 
587 28376 964098 2609 4556 7165 
590 28529 964548 398 52 450 
589 28492 965931 2544 2920 5464 
588 28470 967991 2085 8536 10622 
593 28741 968533 236 306 542 
592 28649 969229 1016 2282 3298 
595 28824 971984 1290 1465 2755 
594 28824 972011 2117 1361 3478 
591 28564 974726 3232 6946 10178 
596 28860 976870 2149 2737 4886 
598 28951 976925 1448 751 2199 
599 29017 978503 803 830 1633 
600 29038 979038 1174 939 2113 
601 29125 979424 396 525 921 
443 21086 981775 1173 279792 280965 
602 29164 982474 1756 1678 3436 
603 29215 987568 3305 4839 8144 
606 29355 988057 348 141 489 
604 29253 990224 3642 4807 8449 
605 29260 991407 1474 7446 8933 
607 29395 992639 1490 3089 4582 
609 29451 992853 693 753 1446 
608 29422 994335 1547 2564 4111 
611 29513 998069 2517 2693 5216 
610 29470 999174 2351 4184 6535 
614 29580 999669 348 147 495 
613 29570 1003025 2596 2360 4956 
615 29590 1004528 2416 2443 4859 
616 29631 1007044 1620 2384 4019 
617 29640 1007507 1480 1499 2979 
619 29756 1011878 1101 3270 4371 
618 29690 1012179 2759 2376 5135 
621 29847 1013518 673 666 1339 
622 29927 1015017 802 697 1499 
620 29786 1015830 2108 1844 3952 
623 30013 1017422 1126 1279 2405 
625 30114 1017484 62 0 62 
626 30202 1020114 1239 1391 2630 
624 30031 1020358 2779 1749 4528 
612 29528 1020982 3198 23449 26647 
627 30216 1025852 1826 3896 5738 
629 30337 1027104 2698 3424 6122 
630 30418 1028677 1496 1329 2825 
628 30306 1030946 3254 7334 10588 
631 30433 1033461 2500 3843 6357 
633 30469 1036290 1821 3517 5344 
632 30449 1036853 2664 5507 8176 
634 30478 1038400 1694 3245 4939 
635 30508 1039345 1237 1816 3055 
638 30626 1043441 2323 1773 4096 
639 30722 1045902 1402 1059 2461 
636 30528 1047589 3376 7360 10736 
640 30819 1047612 1143 567 1710 
491 23450 1053586 3164 266568 269736 
641 30889 1053881 2975 3309 6292 
643 31050 1055828 1329 913 2242 
645 31075 1056739 461 450 911 
646 31170 1059748 1735 1274 3009 
647 31250 1060479 248 480 731 
642 30964 1061476 2163 11701 13864 
644 31052 1062218 3139 5193 8337 
504 23993 1064435 1552 255373 256925 
513 24436 1066261 2944 245271 248235 
650 31316 1067104 2205 2681 4886 
651 31409 1067749 1319 1988 3314 
652 31476 1068171 837 1068 1910 
654 31599 1068527 385 393 778 
656 31624 1069319 472 320 792 
657 31688 1069638 170 149 319 
655 31622 1070100 999 930 1929 
659 31820 1070248 80 68 148 
658 31779 1070875 665 572 1237 
661 31913 1071122 29 218 247 
662 31987 1071641 258 261 519 
660 31886 1073993 2019 1726 3745 
653 31511 1074636 1604 5928 7532 
665 32213 1078214 1834 1744 3578 
