RR 
ID Tempo_de_Chegada Tempo_de_finalizacao Tempo_de_Processamento Tempo_de_Espera Tempo_de_Turnaround 
235 10654 382633 3456 28140 31596 
241 10994 383172 2213 18600 20830 
237 10755 383483 2853 23184 26049 
249 11338 384698 998 8296 9299 
246 11249 385344 1533 12567 14110 
245 11203 387890 2341 19094 21456 
239 10837 388297 3113 25498 28620 
255 11702 388985 109 986 1095 
242 11018 390232 2700 22560 25280 
248 11308 394764 2398 19843 22250 
252 11510 395337 1294 10559 11854 
257 11740 396546 783 6778 7561 
247 11292 396670 2731 22491 25235 
262 12090 397746 112 964 1076 
259 11887 400140 545 4831 5376 
254 11647 401160 1733 14083 15816 
251 11416 401908 2027 16699 18736 
263 12182 403449 619 5084 5703 
261 12036 404171 805 6820 7625 
253 11549 404377 2119 17544 19679 
258 11829 407630 1866 15532 17398 
256 11739 408271 2147 17818 19974 
250 11344 408703 2801 23258 26070 
266 12314 414043 1298 10837 12135 
260 11937 414881 2046 17497 19544 
269 12520 415428 1182 9857 11051 
265 12290 416061 1639 13262 14901 
268 12496 420638 1781 14676 16467 
270 12556 420709 1401 11667 13079 
274 12713 421747 727 6126 6866 
267 12408 424511 2291 18762 21062 
278 12838 425571 528 4334 4862 
271 12620 425579 1848 15455 17308 
272 12653 427893 2075 17103 19190 
264 12205 428455 3044 25253 28315 
283 13153 429326 132 1301 1433 
276 12758 431937 1691 14185 15876 
275 12730 433964 1977 16537 18536 
277 12785 435121 1554 12918 14483 
281 12991 435912 1113 9225 10341 
284 13165 436148 827 6866 7693 
273 12691 438180 2559 21578 24137 
286 13269 443570 1256 10372 11633 
279 12865 445701 2547 21403 23954 
282 13054 448072 2375 20114 22493 
290 13474 448683 1386 11144 12535 
293 13560 449561 393 3467 3860 
289 13435 451417 1697 13807 15505 
297 13830 451565 9 139 148 
298 13835 456823 557 4689 5258 
280 12920 457294 3547 29230 32783 
285 13256 457821 3083 25397 28495 
288 13360 457917 2404 20374 22796 
294 13651 458181 1087 9022 10109 
287 13359 462603 3098 25527 28639 
291 13530 465526 2959 24384 27346 
305 14305 466883 149 1208 1357 
302 14062 467285 1021 8347 9368 
295 13668 467312 2017 16605 18629 
296 13760 470897 2293 19041 21336 
300 13957 472414 1645 13466 15120 
309 14567 473046 237 1912 2149 
292 13537 477712 3692 30436 34142 
306 14377 478895 1294 10718 12012 
303 14133 479798 2301 19289 21617 
308 14553 480973 1452 12205 13661 
304 14223 482005 2042 17360 19402 
299 13880 482929 2821 23275 26106 
315 14815 483751 310 2468 2778 
301 13985 484487 2888 23770 26666 
312 14711 487658 1081 8865 9946 
313 14751 488811 1057 8857 9916 
311 14641 490343 1863 15432 17297 
307 14471 491722 2621 21812 24437 
314 14814 494689 1626 13257 14891 
323 15135 495231 365 3135 3509 
321 15114 495417 713 5893 6606 
320 15082 496031 896 7477 8373 
318 15003 496536 1384 11401 12785 
310 14590 496586 2612 21560 24172 
317 14966 499570 1774 14854 16641 
329 15438 501094 482 4026 4508 
330 15527 505291 596 5117 5721 
328 15384 507378 1199 9642 10842 
325 15220 508377 1404 11739 13146 
316 14883 511922 3226 26671 29917 
333 15680 513058 619 5061 5680 
319 15016 515144 3305 27352 30657 
324 15190 515322 2209 18416 20633 
331 15539 517490 1790 14606 16396 
327 15350 518039 2385 19615 22008 
332 15611 521009 1694 14024 15718 
322 15117 521541 3370 27818 31198 
326 15284 523429 2998 25009 28012 
335 15819 524350 1325 11103 12428 
338 15951 530668 1648 13691 15346 
334 15738 536423 3018 25013 28046 
336 15887 538664 2749 22837 25606 
339 15958 538758 2285 18972 21268 
347 16328 539995 157 1174 1331 
342 16073 540277 2017 16710 18736 
341 16051 542265 2294 18954 21256 
345 16231 542575 1273 10612 11907 
344 16165 542699 2006 16339 18349 
348 16333 543047 446 3843 4289 
350 16391 544394 435 3682 4117 
337 15896 545397 3250 26991 30253 
343 16147 546817 2518 20860 23388 
340 16020 546856 3099 25709 28817 
346 16260 552093 1703 13962 15670 
351 16402 558317 1700 14342 16052 
352 16433 565437 2427 20418 22862 
357 16753 567150 2184 18137 20333 
349 16364 568279 3056 25228 28284 
358 16844 568387 2310 19221 21531 
354 16509 568940 2772 23121 25893 
360 16994 571220 1390 11509 12903 
356 16663 572198 2878 23911 26801 
355 16572 574478 3237 26827 30084 
353 16498 575061 3483 28848 32362 
362 17030 575864 927 7787 8714 
359 16940 577392 2753 22533 25299 
369 17312 579965 526 4373 4904 
361 16999 583051 1901 15713 17614 
367 17305 584236 1293 10745 12038 
374 17500 585304 106 962 1068 
370 17333 586830 1200 9766 10966 
363 17114 587376 2082 17009 19097 
372 17387 590629 1143 9521 10664 
376 17631 591249 444 3975 4419 
365 17233 592167 2454 20765 23227 
380 17862 592628 49 412 461 
366 17301 593429 2375 19822 22209 
373 17409 593519 1108 9360 10468 
364 17171 596038 2981 24658 27651 
384 18016 599695 371 3286 3657 
375 17544 603248 1916 16021 17944 
377 17665 604214 1813 15024 16838 
371 17345 604856 2965 24472 27464 
378 17740 605441 1619 13184 14812 
387 18206 606042 207 1621 1828 
368 17312 606272 3450 28344 31794 
381 17934 607885 1603 13640 15257 
389 18305 613863 893 7520 8422 
379 17769 617415 2837 23329 26166 
383 17957 621097 2977 24592 27578 
386 18137 621593 1975 16357 18345 
385 18092 622091 2382 20014 22396 
390 18343 622710 1779 14878 16668 
388 18291 622838 1936 16038 17982 
