RR 
Tempo Processos_Fila_Pronto Processos_Fila_Bloqueado Processos_Finalizados 
100600 9 0 65 
100800 9 0 66 
101000 9 0 66 
101200 9 0 66 
101400 9 0 66 
101600 9 0 66 
101800 9 0 66 
102000 9 0 66 
102200 9 0 66 
102400 9 0 66 
102600 9 0 66 
102800 9 0 66 
103000 8 1 66 
103200 9 0 66 
103400 9 0 66 
103600 9 0 66 
103800 9 0 66 
104000 9 0 66 
104200 9 0 66 
104400 8 1 66 
104600 9 0 66 
104800 9 0 66 
105000 9 0 66 
105200 9 0 66 
105400 9 0 66 
105600 9 0 66 
105800 9 0 66 
106000 9 0 66 
106200 9 0 66 
106400 9 0 66 
106600 9 0 66 
106800 8 1 66 
107000 9 0 66 
107200 9 0 66 
107400 9 0 67 
107600 9 0 67 
107800 9 0 67 
108000 9 0 67 
108200 10 0 67 
108400 9 0 67 
108600 9 0 67 
108800 9 0 67 
109000 9 0 67 
109200 9 0 67 
109400 9 0 67 
109600 9 0 67 
109800 9 0 67 
110000 9 0 68 
110200 9 0 68 
110400 9 0 68 
110600 9 0 68 
110800 9 0 68 
111000 9 0 68 
111200 9 0 68 
111400 9 0 68 
111600 9 1 68 
111800 8 1 68 
112000 9 0 68 
112200 9 0 68 
112400 9 0 68 
112600 9 0 70 
112800 9 0 70 
113000 9 0 70 
113200 9 0 71 
113400 9 0 71 
113600 9 0 71 
113800 9 0 72 
114000 9 0 72 
114200 9 0 72 
114400 9 0 72 
114600 9 0 72 
114800 9 0 72 
115000 9 0 72 
115200 9 0 72 
115400 9 0 72 
115600 9 0 73 
115800 8 1 73 
116000 9 0 73 
116200 9 0 73 
116400 9 0 73 
116600 9 0 74 
116800 9 0 74 
117000 9 0 74 
117200 9 0 74 
117400 9 0 74 
117600 9 0 76 
117800 9 0 76 
118000 9 0 76 
118200 9 0 76 
118400 9 0 76 
118600 9 0 76 
118800 9 0 76 
119000 9 0 76 
119200 9 0 76 
119400 9 0 76 
119600 9 0 77 
119800 9 0 77 
120000 9 0 77 
120200 8 1 77 
120400 9 0 77 
120600 9 0 77 
120800 9 0 77 
121000 8 1 77 
121200 9 0 77 
121400 9 0 77 
121600 9 0 77 
121800 9 0 77 
122000 9 0 77 
122200 9 0 77 
122400 9 0 77 
122600 9 0 77 
122800 9 0 77 
123000 9 0 77 
123200 9 0 77 
123400 9 0 77 
123600 9 0 77 
123800 8 1 77 
124000 9 0 77 
124200 9 0 77 
124400 9 0 77 
124600 9 0 77 
124800 9 0 77 
125000 9 0 77 
125200 9 0 77 
125400 9 0 77 
125600 8 1 77 
125800 9 0 77 
126000 9 0 77 
126200 9 0 78 
126400 10 0 78 
126600 9 0 78 
126800 9 0 78 
127000 9 0 78 
127200 9 0 78 
127400 9 0 78 
127600 8 1 78 
127800 9 0 78 
128000 9 0 78 
128200 9 0 78 
128400 9 0 78 
128600 9 0 79 
128800 9 0 79 
129000 9 0 79 
129200 9 0 79 
129400 9 0 79 
129600 9 0 79 
129800 9 0 79 
130000 9 0 79 
130200 9 0 79 
130400 8 1 79 
130600 9 0 80 
130800 9 0 81 
131000 9 0 81 
131200 9 0 81 
131400 9 0 81 
131600 9 0 81 
131800 9 0 81 
132000 9 0 81 
132200 9 0 81 
132400 9 0 81 
132600 9 0 81 
132800 9 0 81 
133000 9 0 81 
133200 9 0 81 
133400 9 0 81 
133600 9 0 81 
133800 8 1 82 
134000 9 0 82 
134200 9 0 82 
134400 9 0 82 
134600 9 0 82 
134800 9 0 82 
135000 9 0 83 
135200 9 0 83 
135400 9 0 83 
135600 10 0 83 
135800 9 0 83 
136000 9 0 83 
136200 9 0 84 
136400 9 0 84 
136600 9 0 84 
136800 9 0 84 
137000 9 0 84 
137200 9 0 84 
137400 9 0 84 
137600 9 0 84 
137800 9 0 84 
138000 9 0 85 
138200 9 0 85 
138400 9 0 86 
138600 9 0 86 
138800 9 0 86 
139000 9 0 86 
139200 9 0 87 
139400 9 0 87 
139600 9 0 87 
139800 9 0 87 
140000 9 0 87 
140200 8 1 87 
140400 9 0 87 
140600 9 0 87 
140800 9 0 87 
141000 9 0 87 
141200 9 0 87 
141400 9 0 87 
141600 9 0 87 
141800 9 0 87 
142000 9 0 88 
142200 9 0 88 
142400 9 0 88 
142600 9 0 88 
142800 9 0 88 
143000 9 0 88 
143200 9 0 88 
143400 10 0 89 
143600 9 0 89 
143800 9 0 89 
144000 10 0 89 
144200 10 0 89 
144400 10 0 89 
144600 9 0 89 
144800 9 0 89 
145000 10 0 89 
145200 9 0 89 
145400 9 0 90 
145600 9 0 90 
145800 10 0 90 
146000 9 0 90 
146200 9 0 90 
146400 9 0 90 
146600 9 0 90 
146800 9 0 90 
147000 9 0 90 
147200 9 0 90 
147400 9 0 90 
147600 9 0 90 
147800 9 0 91 
148000 9 0 91 
148200 9 0 91 
148400 9 0 92 
148600 9 0 92 
148800 10 0 92 
149000 10 0 92 
149200 9 0 92 
149400 9 0 92 
149600 9 0 93 
149800 9 0 93 
150000 9 0 94 
150200 9 0 94 
150400 9 0 94 
150600 9 0 94 
150800 9 0 95 
151000 10 0 96 
151200 9 0 96 
151400 10 0 96 
151600 9 0 96 
151800 9 0 96 
152000 9 0 96 
152200 9 0 96 
152400 9 0 97 
152600 9 0 97 
152800 9 0 97 
153000 9 0 97 
153200 9 0 97 
153400 9 0 97 
153600 9 0 98 
153800 8 1 98 
154000 9 0 98 
154200 9 0 98 
154400 10 0 98 
154600 10 0 98 
154800 9 0 98 
155000 9 0 98 
155200 8 1 98 
155400 9 0 98 
155600 8 1 98 
155800 9 0 98 
156000 9 0 98 
156200 9 0 98 
156400 9 0 98 
156600 8 1 99 
156800 9 0 99 
157000 8 1 101 
157200 9 0 101 
157400 10 0 102 
157600 9 0 102 
157800 9 0 102 
158000 9 0 102 
158200 9 0 102 
158400 9 0 102 
158600 9 0 102 
158800 9 0 102 
159000 9 0 102 
159200 9 0 102 
159400 9 0 102 
159600 9 0 102 
159800 9 0 102 
160000 9 0 102 
160200 9 0 102 
160400 9 0 102 
160600 9 0 102 
160800 9 0 102 
161000 9 0 102 
161200 9 0 102 
161400 9 1 102 
161600 9 0 102 
161800 9 0 103 
162000 9 0 103 
162200 9 0 103 
162400 9 0 103 
162600 9 0 103 
162800 9 0 103 
163000 9 0 103 
163200 9 0 103 
163400 9 0 103 
163600 9 0 103 
163800 9 0 104 
